Alpha Gain,Alpha Loss,Beta,Gamma,propB,propC
0.425,0.075,0.5,1.0,0.3204,0.6695999999999996
0.425,0.1,0.5,1.0,0.3640999999999998,0.6258999999999996
0.425,0.125,0.5,1.0,0.3786,0.6113999999999998
0.425,0.15,0.5,1.0,0.3097000000000001,0.6802999999999996
0.425,0.175,0.5,1.0,0.3621999999999999,0.6278000000000001
0.425,0.2,0.5,1.0,0.2920999999999999,0.6978999999999996
0.425,0.225,0.5,1.0,0.36649999999999994,0.6235
0.425,0.25,0.5,1.0,0.3150000000000001,0.6749999999999997
0.425,0.275,0.5,1.0,0.3396999999999999,0.6503000000000001
0.425,0.3,0.5,1.0,0.2750999999999999,0.7148999999999998
0.425,0.325,0.5,1.0,0.3534999999999999,0.6364999999999998
0.425,0.35,0.5,1.0,0.28569999999999995,0.7043
0.425,0.375,0.5,1.0,0.28909999999999997,0.7008999999999999
0.425,0.4,0.5,1.0,0.2991,0.6908999999999998
0.425,0.425,0.5,1.0,0.24259999999999987,0.7473999999999995
0.425,0.45,0.5,1.0,0.32040000000000013,0.6695999999999998
0.425,0.475,0.5,1.0,0.24179999999999996,0.7482
0.45,0.0,0.5,1.0,0.5820999999999998,0.40789999999999993
0.45,0.025,0.5,1.0,0.39010000000000006,0.5999000000000001
0.45,0.05,0.5,1.0,0.40250000000000014,0.5874999999999998
0.45,0.075,0.5,1.0,0.278,0.7119999999999996
0.45,0.1,0.5,1.0,0.26380000000000003,0.7261999999999996
0.45,0.125,0.5,1.0,0.31930000000000003,0.6706999999999995
0.45,0.15,0.5,1.0,0.3167000000000002,0.6732999999999996
0.45,0.175,0.5,1.0,0.3316000000000002,0.6583999999999999
0.45,0.2,0.5,1.0,0.3697000000000001,0.6203
0.45,0.225,0.5,1.0,0.33829999999999993,0.6516999999999996
0.45,0.25,0.5,1.0,0.34790000000000004,0.6420999999999999
0.45,0.275,0.5,1.0,0.34920000000000007,0.6407999999999998
0.45,0.3,0.5,1.0,0.2932,0.6967999999999996
0.45,0.325,0.5,1.0,0.27140000000000003,0.7185999999999999
0.45,0.35,0.5,1.0,0.3063,0.6837000000000002
0.45,0.375,0.5,1.0,0.2915999999999999,0.6983999999999998
0.45,0.4,0.5,1.0,0.2657999999999998,0.7241999999999994
0.45,0.425,0.5,1.0,0.25720000000000004,0.7328
0.45,0.45,0.5,1.0,0.2718999999999999,0.7180999999999997
0.45,0.475,0.5,1.0,0.19699999999999998,0.7929999999999997
0.475,0.0,0.5,1.0,0.39760000000000006,0.5923999999999999
0.475,0.025,0.5,1.0,0.39099999999999996,0.599
0.475,0.05,0.5,1.0,0.35080000000000006,0.6392
0.475,0.075,0.5,1.0,0.33390000000000003,0.6560999999999996
0.475,0.1,0.5,1.0,0.27850000000000014,0.7114999999999996
0.475,0.125,0.5,1.0,0.2981,0.6918999999999994
0.475,0.15,0.5,1.0,0.3545000000000001,0.6354999999999998
0.475,0.175,0.5,1.0,0.3057,0.6843
0.475,0.2,0.5,1.0,0.2809999999999999,0.709
0.475,0.225,0.5,1.0,0.2896000000000001,0.7003999999999998
0.475,0.25,0.5,1.0,0.4562999999999999,0.5337
0.475,0.275,0.5,1.0,0.30339999999999984,0.6865999999999999
0.475,0.3,0.5,1.0,0.2773,0.7127
0.475,0.325,0.5,1.0,0.33249999999999985,0.6575
0.475,0.35,0.5,1.0,0.22749999999999987,0.7625000000000003
0.475,0.375,0.5,1.0,0.28539999999999993,0.7045999999999998
0.475,0.4,0.5,1.0,0.28439999999999993,0.7055999999999999
0.475,0.425,0.5,1.0,0.2634000000000001,0.7265999999999997
0.475,0.45,0.5,1.0,0.2027999999999999,0.7871999999999996
0.475,0.475,0.5,1.0,0.17449999999999993,0.8155000000000001
